new_id,split,crop_name,source_image_id,source_transition,scale_factor,crop_width,crop_height,refined_width,refined_height,texture_a,texture_b,image_name,label_a_name,label_b_name,valid_fraction,overlap_fraction,void_fraction
0,training,training_ADE_train_00000191_t0_crop0,training_ADE_train_00000191,training_ADE_train_00000191_t0,2,113,172,226,344,wet sandy beach with scattered pebbles,foamy white ocean wave with churning water,0.png,0.png,0.png,1.0,0.0,0.0
1,training,training_ADE_train_00000191_t0_crop1,training_ADE_train_00000191,training_ADE_train_00000191_t0,2,112,223,224,446,wet sandy beach with scattered pebbles,foamy white ocean wave with churning water,1.png,1.png,1.png,1.0,0.0,0.0
2,training,training_ADE_train_00000191_t1_crop0,training_ADE_train_00000191,training_ADE_train_00000191_t1,2,256,101,512,202,foamy white ocean wave with churning water,calm gray ocean surface with gentle ripples,2.png,2.png,2.png,1.0,0.0,0.0
3,training,training_ADE_train_00000569_t0_crop0,training_ADE_train_00000569,training_ADE_train_00000569_t0,2,77,149,154,298,rough dark volcanic rock with jagged edges,foamy white ocean water with turbulent motion,3.png,3.png,3.png,1.0,0.0,0.0
4,training,training_ADE_train_00000569_t0_crop1,training_ADE_train_00000569,training_ADE_train_00000569_t0,1,535,448,535,448,rough dark volcanic rock with jagged edges,foamy white ocean water with turbulent motion,4.png,4.png,4.png,0.9553571428571429,0.0003170894526034713,0.04432576769025367
5,training,training_ADE_train_00000583_t0_crop0,training_ADE_train_00000583,training_ADE_train_00000583_t0,2,113,212,226,424,dense green grass with scattered shadows,smooth wet sandy ground with ripples,5.png,5.png,5.png,1.0,0.0,0.0
6,training,training_ADE_train_00000583_t0_crop1,training_ADE_train_00000583,training_ADE_train_00000583_t0,2,104,256,208,512,dense green grass with scattered shadows,smooth wet sandy ground with ripples,6.png,6.png,6.png,1.0,0.0,0.0
7,training,training_ADE_train_00000583_t0_crop2,training_ADE_train_00000583,training_ADE_train_00000583_t0,2,163,256,326,512,dense green grass with scattered shadows,smooth wet sandy ground with ripples,7.png,7.png,7.png,1.0,0.0,0.0
8,training,training_ADE_train_00000932_t0_crop0,training_ADE_train_00000932,training_ADE_train_00000932_t0,1,683,344,683,344,snow-covered evergreen trees with dark trunks,bare leafless shrubs with thin branches,8.png,8.png,8.png,0.9894616772787633,0.001451360277843985,0.009086962443392693
9,training,training_ADE_train_00000932_t0_crop1,training_ADE_train_00000932,training_ADE_train_00000932_t0,2,104,104,208,208,snow-covered evergreen trees with dark trunks,bare leafless shrubs with thin branches,9.png,9.png,9.png,1.0,0.0,0.0
10,training,training_ADE_train_00000932_t0_crop2,training_ADE_train_00000932,training_ADE_train_00000932_t0,2,173,256,346,512,snow-covered evergreen trees with dark trunks,bare leafless shrubs with thin branches,10.png,10.png,10.png,1.0,0.0,0.0
