image_id,mode,iou0,iou1,iou,ari,used_inversion,pred_fg_ratio,gt_fg_ratio,is_empty_pred,is_full_pred,is_near_empty_pred,is_near_full_pred,num_pred_masks,pred_source,pred_paths,gt_path
rwtd_1,aggregated,0.17509460449192032,0.8249053955065538,0.8249053955065538,0.0,1,1.0,0.1750946044921875,0,1,0,1,39,union,outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_178.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_12.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_129.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_13.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_188.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_181.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_106.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_197.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_18.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_101.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_14.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_118.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_1.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_185.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_125.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_183.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_107.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_182.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_16.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_189.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_175.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_184.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_102.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_176.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_139.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_17.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_121.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_122.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_128.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_142.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_149.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_109.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_104.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_134.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_180.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_186.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_15.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_103.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_194.png,data/rwtd_kaust256/labels/rwtd_1.png
rwtd_101,aggregated,0.0021026072329636803,0.19758591037868217,0.19758591037868217,0.05218806616738406,1,0.0959625244140625,0.522186279296875,0,0,0,0,1,union,outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_101.png,data/rwtd_kaust256/labels/rwtd_101.png
rwtd_102,aggregated,0.32318911210930634,0.0,0.32318911210930634,-0.085756908448208,0,0.2732086181640625,0.8453521728515625,0,0,0,0,1,union,outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_102.png,data/rwtd_kaust256/labels/rwtd_102.png
rwtd_103,aggregated,0.2628971190846779,0.7134593014105174,0.7134593014105174,0.058173179885586575,1,0.9499969482421875,0.2867889404296875,0,0,0,0,1,union,outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_103.png,data/rwtd_kaust256/labels/rwtd_103.png
rwtd_104,aggregated,0.03335191526633216,0.9254730041517836,0.9254730041517836,0.1288522622072473,1,0.9499969482421875,0.03997802734375,0,0,0,0,1,union,outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_104.png,data/rwtd_kaust256/labels/rwtd_104.png
rwtd_106,aggregated,0.12480035075612289,0.8491545837034877,0.8491545837034877,0.1550838338012623,1,0.9499969482421875,0.1460723876953125,0,0,0,0,1,union,outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_106.png,data/rwtd_kaust256/labels/rwtd_106.png
rwtd_107,aggregated,0.006891661311394749,0.3142251936178122,0.3142251936178122,0.13191992417405102,1,0.1496124267578125,0.5437164306640625,0,0,0,0,1,union,outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_107.png,data/rwtd_kaust256/labels/rwtd_107.png
rwtd_109,aggregated,0.3529134943438496,0.5815468912028394,0.5815468912028394,-0.03997306744199952,1,0.893707275390625,0.3345794677734375,0,0,0,0,1,union,outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_109.png,data/rwtd_kaust256/labels/rwtd_109.png
rwtd_118,aggregated,0.012396453721822033,0.7453253943369453,0.7453253943369453,0.2644224296606383,1,0.6629791259765625,0.1333160400390625,0,0,0,0,1,union,outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_118.png,data/rwtd_kaust256/labels/rwtd_118.png
rwtd_12,aggregated,0.5213775634757669,0.4786224365227072,0.5213775634757669,0.0,0,1.0,0.5213775634765625,0,1,0,1,6,union,outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_12.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_129.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_125.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_121.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_122.png|outputs/rwtd_ens/ens3_ws_t35_mx95_h/masks/rwtd_128.png,data/rwtd_kaust256/labels/rwtd_12.png
