image_id,iou,iou_inv,iou_inv_robust,used_inversion,pred_fg_ratio,gt_fg_ratio,agg_iou,agg_iou_inv,agg_iou_inv_robust,agg_used_inversion,agg_num_segments
rwtd_1,0.027808771779222547,0.0032361864484686522,0.027808771779222547,0,0.00762939453125,0.1750946044921875,0.9522636541230338,0.9896548550389344,0.9896548550389344,1,2
rwtd_101,0.019753375021909957,0.0,0.019753375021909957,0,0.01031494140625,0.522186279296875,0.7888411518808672,0.8103852770969162,0.8103852770969162,1,2
rwtd_102,0.07497618500146586,0.37312925170042643,0.37312925170042643,1,0.153350830078125,0.8453521728515625,0.8622041850746838,0.4700691471844122,0.8622041850746838,0,1
rwtd_103,0.0,0.03741896835753677,0.03741896835753677,1,0.0266876220703125,0.2867889404296875,0.29465251540277887,0.7132110595702037,0.7132110595702037,1,2
rwtd_104,0.3306306306302051,0.07864396426661394,0.3306306306302051,0,0.1177825927734375,0.03997802734375,0.3306306306302051,0.9600219726561036,0.9600219726561036,1,3
rwtd_106,0.0,0.06704429712487411,0.06704429712487411,1,0.0572509765625,0.1460723876953125,0.15494302732096418,0.8539276123045573,0.8539276123045573,1,2
rwtd_107,0.04737128847724125,0.034037039378031084,0.04737128847724125,0,0.04296875,0.5437164306640625,0.5619420616169214,0.4566014378897528,0.5619420616169214,0,5
rwtd_109,0.022027637159656117,0.0,0.022027637159656117,0,0.0073699951171875,0.3345794677734375,0.6588390671303122,0.7905548996456652,0.7905548996456652,1,3
rwtd_118,0.02761926500795752,0.00043828123630363454,0.02761926500795752,0,0.0040740966796875,0.1333160400390625,0.9055187637959099,0.9850694202189031,0.9850694202189031,1,1
rwtd_12,0.0035364606166875534,0.0014608739837393735,0.0035364606166875534,0,0.0025482177734375,0.5213775634765625,0.8050070109836397,0.8242449774873419,0.8242449774873419,1,1
rwtd_121,0.04386010317993619,0.029719106509414513,0.04386010317993619,0,0.04351806640625,0.8796234130859375,0.8796234130858033,0.3864660773866496,0.8796234130858033,0,5
rwtd_122,0.0062778509570902506,0.08390692574767501,0.08390692574767501,1,0.0454559326171875,0.502410888671875,0.601251827142798,0.4975891113280491,0.601251827142798,0,1
rwtd_125,0.00024408103490346884,0.008668866886686761,0.008668866886686761,1,0.0060882568359375,0.3065643310546875,0.40215883121114876,0.6934356689452067,0.6934356689452067,1,6
rwtd_128,0.0524513504059406,0.3469198273059064,0.3469198273059064,1,0.157501220703125,0.71478271484375,0.9344732370431321,0.856784736084278,0.9344732370431321,0,3
rwtd_129,0.017501599608559786,0.015160218786679199,0.017501599608559786,0,0.016357421875,0.396148681640625,0.6110799925313779,0.6649184284419798,0.6649184284419798,1,4
rwtd_13,0.014593487728199293,0.0,0.014593487728199293,0,0.007720947265625,0.5290679931640625,0.895039870252495,0.8802430298541574,0.895039870252495,0,3
rwtd_134,0.0023404316796202316,0.0025091681142628483,0.0025091681142628483,1,0.0024261474609375,0.5269012451171875,0.971454335390151,0.9673878050347796,0.971454335390151,0,2
rwtd_139,0.05022951977399652,0.14573754912281467,0.14573754912281467,1,0.1126251220703125,0.431976318359375,0.5870819504721504,0.6197931358719747,0.6197931358719747,1,2
rwtd_14,0.00044012045401889275,0.25843106075655653,0.25843106075655653,1,0.11932373046875,0.5396881103515625,0.6122802459512233,0.4603118896483673,0.6122802459512233,0,1
rwtd_142,0.0027480916030492397,0.003378150124990984,0.003378150124990984,1,0.003326416015625,0.096893310546875,0.40134112335652544,0.9031066894529872,0.9031066894529872,1,5
rwtd_149,0.08959454952592082,0.10960823935854586,0.10960823935854586,1,0.10870361328125,0.5892181396484375,0.7954776480153617,0.7226688574612046,0.7954776480153617,0,2
rwtd_15,8.381948635417357e-05,0.1112284938120869,0.1112284938120869,1,0.011322021484375,0.8989715576171875,0.9091189678851667,0.1598538479104413,0.9091189678851667,0,2
rwtd_16,0.029976623733778712,0.05396592483897694,0.05396592483897694,1,0.0401611328125,0.645599365234375,0.6455993652342765,0.37331411510339274,0.6455993652342765,0,5
rwtd_17,0.06083644373737061,0.801638244874113,0.801638244874113,1,0.3160400390625,0.7421417236328125,0.9151451814510123,0.801638244874113,0.9151451814510123,0,2
rwtd_175,0.07558478963138769,0.07477525353171366,0.07558478963138769,0,0.0811614990234375,0.34051513671875,0.7542960871316037,0.8699532420947392,0.8699532420947392,1,3
rwtd_176,0.16984434877221466,0.14029021855963092,0.16984434877221466,0,0.1742706298828125,0.203033447265625,0.22667329454070978,0.7969665527342534,0.7969665527342534,1,4
rwtd_178,0.9461141361993685,0.006657252370384281,0.9461141361993685,0,0.4148406982421875,0.4250030517578125,0.9461141361993685,0.9606993656194336,0.9606993656194336,1,2
rwtd_18,0.026964231121964558,0.003053803190420088,0.026964231121964558,0,0.0090484619140625,0.2472381591796875,0.6172317578419645,0.8222475263073618,0.8222475263073618,1,3
rwtd_180,0.009330308206080168,0.23213103428416706,0.23213103428416706,1,0.128631591796875,0.4755096435546875,0.5823720736733515,0.5244903564452325,0.5823720736733515,0,1
rwtd_181,0.5692835889218633,0.0,0.5692835889218633,0,0.56927490234375,0.9999847412109375,0.999984741210785,3.637024913619336e-05,0.999984741210785,0,3
rwtd_182,0.00029364944438429536,0.9730899213540403,0.9730899213540403,1,0.47039794921875,0.517181396484375,0.9806333950900358,0.9788699030349708,0.9806333950900358,0,1
rwtd_183,0.0,0.0,0.0,0,0.0,0.5508575439453125,0.5508575439452285,0.449142456054619,0.5508575439452285,0,1
rwtd_184,0.004196231021590876,0.0,0.004196231021590876,0,0.0041961669921875,0.9999847412109375,0.999984741210785,0.0009372071227653497,0.999984741210785,0,3
